Reference, Quantity, Value, Footprint, Datasheet
C1 C5 ,2,"0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
C2 C3 ,2,"22pF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
C4 ,1,"10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
D1 ,1,"LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
J2 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J1 J3 ,2,"Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
R1 ,1,"1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
R2 ,1,"22k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
U1 ,1,"ATtiny44A-SSU","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8183.pdf"
Y1 ,1,"Crystal 12MHz","Crystal:Crystal_HC49-U_Vertical","~"
